,index,order,subject,threshold,day,lp_duration,lp_met,ipi,past_he_duration,rew_dummy,gcamp_lp,gcamp_lp_per_sec,gcamp_lp_mod,gcamp_lp_mod_per_sec,gcamp_zscore,gcamp_mod_zscore,gcamp_lp_per_sec_zscore,gcamp_lp_mod_per_sec_zscore
32,32,33,3201,1600,2,1970.553599998355,1,16723.532799996436,700.3903999999166,0.0,39254163,19920373.137798823,25864263.9,13125379.538025046,1.0310461846244532,0.4850785725694074,1.0,0.8075125589628407
33,33,34,3201,1600,2,1339.7695999965072,0,1499.1872000023725,0.0,1.0,26703919,19931724.827962674,17612277.4,13145750.88137984,0.3358457573654256,-0.0137888545915066,1.0,0.8140166901105029
34,34,35,3201,1600,2,2089.3120000064373,1,1019.9167999997736,0.0,0.0,41886936,20048195.76964616,27654447.3,13236150.129762717,1.176884378246508,0.5933027179802342,1.0,0.8428792229779771
35,35,36,3201,1600,2,627.1295999959111,0,581.6576000005007,0.0,1.0,12836846,20469207.640787,8450336.3,13474625.181230636,-0.432298278275007,-0.5676668795200295,1.0,0.9190191703137486
36,36,37,3201,1600,2,528.7744000032544,0,2162.6880000010133,0.0,0.0,10897423,20608832.424438342,7183309.8,13584828.993150556,-0.539729472300875,-0.644263981345111,1.0,0.9542048737411476
37,37,38,3201,1600,2,516.5119999945164,0,462.8863999992609,0.0,0.0,10793066,20896060.498332247,7144439.1,13832087.34758505,-0.5455101591932947,-0.6466138792879814,1.0,1.0331491405274964
38,38,39,3201,1600,2,778.7712000012398,0,401.3951999992132,0.0,0.0,15881072,20392474.70884224,10494467.9,13475675.397322468,-0.2636683125250948,-0.4440904931468425,1.0,0.9193544816908964
39,39,40,3201,1600,2,881.1455999985337,0,1601.4336000010371,0.0,0.0,17925772,20343711.64087959,11820680.6,13415127.533996277,-0.1504054696977734,-0.3639153356236051,1.0,0.9000228530925494
40,40,41,3201,1600,2,1769.9391999989748,1,17518.04160000384,700.3776000067592,0.0,35062232,19809851.09546153,23225390.6,13122140.353755346,0.7988409603881466,0.3255475391903987,1.0,0.8064783571954537
41,41,42,3201,1600,2,2478.444800004363,1,1122.2783999964597,0.0,1.0,49280037,19883451.50955682,32448001.200000003,13092081.453636928,1.5864132267668352,0.8830932915651724,1.0,0.7968811978368554
